id,fee_plan_id,component_code,year_number,amount,is_admission_phase
a65db2f1-b580-59fb-944f-f33c206685bb,2ededa2b-65c0-51ef-9c91-5418ca3240fa,ADMISSION,1,10000.00,1
013f745c-9f8b-5b35-95be-959ddc9228e6,2ededa2b-65c0-51ef-9c91-5418ca3240fa,TUITION,1,50000.00,0
9feb2053-b174-5ff0-961e-038908378e6b,2ededa2b-65c0-51ef-9c91-5418ca3240fa,TUITION,2,50000.00,0
5d1be646-f28c-554a-b3df-34dc37eb4a92,2ededa2b-65c0-51ef-9c91-5418ca3240fa,TUITION,3,50000.00,0
739a57e0-5227-501d-97fd-c5a5950a2ff2,2ededa2b-65c0-51ef-9c91-5418ca3240fa,TUITION,4,50000.00,0
285dadec-5230-5b54-b191-2d29b4f4ab83,7dbe0fa2-886c-5144-85df-99f39bc9588f,ADMISSION,1,10000.00,1
b8c179af-2881-5045-aadd-c3396865530a,7dbe0fa2-886c-5144-85df-99f39bc9588f,TUITION,1,40000.00,0
c80b0cd8-7213-5ef5-b5d4-3152ba1f4ff5,7dbe0fa2-886c-5144-85df-99f39bc9588f,TUITION,2,40000.00,0
0a13bb8f-a66b-57f8-b3b0-0cffed917bb1,7dbe0fa2-886c-5144-85df-99f39bc9588f,TUITION,3,40000.00,0
6ac14651-4eca-5f6f-8a39-e20bc876a568,8abe9ca6-d328-5abd-bccb-4bfd2cadc471,ADMISSION,1,25000.00,1
d6c2c61f-e3d1-5913-b98c-1b3b62b13478,8abe9ca6-d328-5abd-bccb-4bfd2cadc471,TUITION,1,190000.00,0
aea5aeee-92e2-5f5b-8819-0900fadb7f30,8abe9ca6-d328-5abd-bccb-4bfd2cadc471,TUITION,2,190000.00,0
a447cdae-94b4-5625-8e0b-fb3327800e1b,60fb6e7f-7ba9-5314-b92a-72b184714d30,ADMISSION,1,10000.00,1
a0360fc2-e470-551c-81e6-1d41e235edac,60fb6e7f-7ba9-5314-b92a-72b184714d30,TUITION,1,70000.00,0
2ef1fb71-37e7-56c0-9900-0be81c0e7119,60fb6e7f-7ba9-5314-b92a-72b184714d30,TUITION,2,70000.00,0
77fc027f-5704-5327-b744-699347fc7c4a,60fb6e7f-7ba9-5314-b92a-72b184714d30,TUITION,3,70000.00,0
f1664409-22ff-5c59-8b1a-e19a0a6922c0,60fb6e7f-7ba9-5314-b92a-72b184714d30,TUITION,4,70000.00,0
e0daa248-2d2c-5e93-bd36-84a9603ce7f6,d4ad3a0f-c808-5d74-964b-9bdd1fa338f9,ADMISSION,1,10000.00,1
