id,student_id,ref_group,slot_number,raw_value
15ac36fc-09a6-5c23-9d3d-24aa7aa152d0,49e24f05-6ecf-544d-b445-b1d3400c6c28,card,1,536
3ec04968-9489-55f0-9747-a60ac5639778,49e24f05-6ecf-544d-b445-b1d3400c6c28,card,2,3243
560df5ae-0b2a-5b2a-91d4-3e837fe30cdb,49e24f05-6ecf-544d-b445-b1d3400c6c28,eno,1,5451
d4acbf02-088c-571f-9289-45700213f07d,49e24f05-6ecf-544d-b445-b1d3400c6c28,eno,2,711
6350ade2-5022-59ba-a026-317cf24afe17,49e24f05-6ecf-544d-b445-b1d3400c6c28,eno,3,468
a280e037-c8c8-57ec-8c28-6fbd04b438b2,49e24f05-6ecf-544d-b445-b1d3400c6c28,eno,4,935
d5a0cf3b-1737-5e8d-b82f-bad82f378958,b8de4e91-8566-54cd-b34e-c45c7e19bcc8,card,1,620
949742a9-d112-5609-ba7d-0e793fdd96f1,b8de4e91-8566-54cd-b34e-c45c7e19bcc8,card,2,L-130
64b6f2df-64a3-552c-aee9-a9d953c27318,b8de4e91-8566-54cd-b34e-c45c7e19bcc8,eno,1,062
e08aadf8-e019-5874-ab27-259bbbd9ff08,b8de4e91-8566-54cd-b34e-c45c7e19bcc8,eno,2,715
3f0934e1-b784-5e5d-bbaf-339902e5cef2,b8de4e91-8566-54cd-b34e-c45c7e19bcc8,eno,3,647
2dd5619b-2963-5378-b422-e2d02109bb54,b8de4e91-8566-54cd-b34e-c45c7e19bcc8,eno,4,1076
8e384ea9-57c6-52c4-a278-53af091d24df,4f3ade79-94b6-51a2-9c84-61fe808ec72e,card,1,407
7526bf81-98a0-572c-a2d2-61ecb86a9db9,4f3ade79-94b6-51a2-9c84-61fe808ec72e,eno,1,1.5
572aa43e-3a6a-5fcd-b91b-b50b0e75a278,4f3ade79-94b6-51a2-9c84-61fe808ec72e,eno,2,23/9/24 20
a20d34f3-cfc4-5b17-8b1c-a9657ddf6dfe,62719838-e0f3-505c-b8b5-b1d648c523d8,card,1,560
511d474f-a9bd-564b-82ff-dbbe470eb445,62719838-e0f3-505c-b8b5-b1d648c523d8,card,2,2644
b50c7f55-c549-53f6-94e5-6b1c9cc05147,62719838-e0f3-505c-b8b5-b1d648c523d8,card,3,L-320
ab73f5dd-0cb0-5ad5-958d-ebd76dda663f,62719838-e0f3-505c-b8b5-b1d648c523d8,eno,1,5733
95af40c4-f0bd-543a-be6d-e8daff71c1f1,62719838-e0f3-505c-b8b5-b1d648c523d8,eno,2,583
b5c5e069-a62a-5c60-bf06-196de41cea1f,62719838-e0f3-505c-b8b5-b1d648c523d8,eno,3,611
1c42a3c5-80e5-5b84-98aa-7080cb2786c9,62719838-e0f3-505c-b8b5-b1d648c523d8,eno,4,1237
b6b2e920-e507-5060-a9e9-911375dd5d5d,c6fe6dea-a254-53a6-9346-8c5cfba1349e,card,1,762
c67ac959-f8b7-54f2-ae1d-5bb788e518ee,c6fe6dea-a254-53a6-9346-8c5cfba1349e,card,2,3242
c578244c-262e-5c3c-b70b-7349cf2aa9cb,c6fe6dea-a254-53a6-9346-8c5cfba1349e,card,3,L-097
a6fa95f1-f10c-5705-a287-ed7134eacb9c,c6fe6dea-a254-53a6-9346-8c5cfba1349e,eno,1,5453
4642f980-8c37-514b-a287-d3c79ce2df6a,c6fe6dea-a254-53a6-9346-8c5cfba1349e,eno,2,490
491aa4a9-4bfe-5896-a876-a252b813708e,c6fe6dea-a254-53a6-9346-8c5cfba1349e,eno,3,641
7d98822e-1f8e-5b75-9679-e981f2b008bb,c6fe6dea-a254-53a6-9346-8c5cfba1349e,eno,4,1528
471495c2-45ff-5a63-93ac-4e9580d75570,8e0a158b-4268-5703-af8e-dd9548291e24,card,1,OLD STU
