id,student_id,note
73e20029-38ae-5cf6-bafb-899f3ecfb204,feb8eaa1-9713-5339-8cf1-669c43dbf9d5,35K DIS
92c02a82-08e2-5aaa-8223-ecf1bc771a59,ba89862c-06d4-5fac-a8b2-23bea66ccbb1,SWASTIKA 25K
3e129d3e-0d15-5199-b10e-c723401bdef7,d38b3904-19f7-5e21-922a-c43184e110c5,DIS 10K
a4688ba9-5ae8-59ea-9aa2-b03719aba99f,49e24f05-6ecf-544d-b445-b1d3400c6c28,DIS
3770b6ca-f051-503a-9996-9d8b2df398ad,b8de4e91-8566-54cd-b34e-c45c7e19bcc8,26K
ac1ad5be-9514-57ae-b147-8d18d664c7c2,4f3ade79-94b6-51a2-9c84-61fe808ec72e,1.5
2ea600ec-c9f4-5afb-b312-edff2a89b39a,62719838-e0f3-505c-b8b5-b1d648c523d8,S
430cb293-4f5e-562b-8960-bc1aa02e925b,c6fe6dea-a254-53a6-9346-8c5cfba1349e,10K DIS
d5c93392-05fa-5c65-999d-1fbbdeb74ba3,367ab234-02f7-5db1-ac0e-e5566f3773ec,ABHISHEK
798dd89a-db00-5808-a9ef-f73cd1775669,d54f114a-9af5-5644-93bf-282bad569a1e,RAJA
3b2fddc0-39ff-55bc-9135-dc9f6eb4743c,2ab8bbb2-6261-5662-aef9-7d6965f09c85,10K DIS
597d9aa1-a3ba-5d84-b68f-0daa2279160b,eb0bb15c-1ae5-5971-8cef-185541e9df48,DIS 25K
27eeba83-aca3-5884-803e-c7a1dc66d18a,36111ac8-1d4e-53a2-9e2f-7f6f84e9d29f,ARINDAM
3b64f999-79a5-546e-b17a-03b6cecdc593,c99cf244-1a95-5d9c-b230-b9ed716aee64,**
69dce2a5-cc9c-58ea-8e38-823c5ce22024,50858886-929d-5dd6-874e-46d5e7260663,JOHN
3ef22fd1-a1e9-5df8-9c78-c26b9d7b62d7,d23fa5dc-9652-5078-959b-8970b0179028,PRASHANT
13530010-240c-5958-94ed-3726a41ee782,45057b2c-73b3-52c9-90f4-2fe0725f51af,10K DIS
9da49596-a0e2-5aaa-9ac1-20db3513b0d5,3fe77a82-50f5-5ef6-94af-e4f1fb7d67fc,BHAWNA
6598ece0-71b9-5182-a4e7-c22acaba45bc,53a11af8-bc88-55eb-ad06-89f374f971f6,25K DIS
9bf8b2a5-9102-5ee2-bc58-49dcbde4115f,48594cb1-e071-5155-9b5a-5028532c301d,10K DIS
76077f0b-52af-5d88-bbee-ac67bbef7fa1,e1b745a0-4c12-56b2-b9d6-3b23379e98f9,5K DIS
436fa33f-19a4-5c0b-9143-e261584c0bdb,94b80b2c-8c60-5a22-8629-c2f52d9a2fcc,10K DIS
d2ddb0ca-4164-5a2f-b411-5198c92898df,cc02370f-488c-5e92-9fe1-14b3988caa47,SELAM OFFICE
7b80e53a-d495-55ea-a235-5a95dba64c0d,f632d3d4-b38c-529b-b1fe-4331b1809bd0,DIS OF RS 5 K
4dceffad-140e-5ce9-88b7-9f35b7ae51a3,ce1980f7-5eb9-51e9-ac6f-e99146e6596f,DIS 10
d6eeb715-2127-5209-9a29-60445c803011,0913cc48-a5e4-589a-b5ab-98312d5e24ea,27K DIS
399415cb-98de-5ad2-b0a1-b844c29cb79b,2f9f7f92-f9e9-5581-88d6-000de54a2d58,DIS 5K ABHISHEK
b7a3b808-e625-5061-add6-cdac5248a81a,a46c52f8-8128-5328-b8d2-86bd658f0c68,SANJAY
a155aed5-3522-566f-8380-70691c920c3c,cdda1066-b903-5448-8905-e34230fa74f9,DEVRAJ
9ca4e951-09de-5ce3-9cbd-d329e02a8d63,bce4db08-1bdb-51fa-ace0-32928df8f1fc,NAGALAND
5e68d746-395d-5982-a31c-3e2c1a0d2f30,17f47719-f045-5377-8d2c-2a349355bfb7,DIS 10K
23fde2ad-3fd0-5c3b-a2d3-3106560cf123,55c15a36-3c8c-5865-a586-43c1938b9ff0,RAJA
4b137b7c-6290-5254-9ed3-c2e8364d30c5,cf6e55fa-4a89-5e35-975a-b193d5a0fdac,DIS 35K
a1e642a1-4f76-516a-a4a4-b04f57595cab,759c0e1f-94f6-50af-9e7b-cc46c6c34d14,PANKAJ
05457c87-eb80-5f0d-8190-d2aeca8e70c8,b7c6a98b-7d30-50fb-940e-4e1b2837af79,5K DIS
c637f3f8-0328-57eb-a927-a0f6310db8e4,eb773530-e8af-548c-ab6a-32327af79bc0,DIS 5K
dc65571e-f3b6-590f-a138-a6837de4ef0c,84e32235-dad5-5e8c-8aae-2eba93adce08,DIS OF RS 20 K
4148abf0-9d13-51f2-a3e9-c587bcb8573c,4f22a4c8-a9b9-5716-9a35-2721f5ecbde4,15K DIS  ADMAY
91a43c1e-3517-5b13-b1bc-021fca4164ed,d76f97f6-a311-5260-b114-e6f727df090a,SATYAM
ca98accf-deb9-572e-98b1-1dd343506a31,06b4225e-442d-5c74-891f-7eb9eec37ac0,RAJA
76ad1601-2b35-543e-91da-dac092a645f5,75c9276c-f115-5c04-b169-24610bf567cc,20K DIS
03ca17f3-a6e7-59dc-ad1d-99a8a62a5e6c,c9b986fc-8a16-5d32-bff3-cc42fb389604,DIS 15K SAAD KHAN
e7069c2f-07f6-5d35-a84c-5169d64470e9,a6959eda-3829-557d-b9f5-63fb1c966fb1,DIS 12
65575d74-9eac-55d1-a9e5-49c0a3addf94,3ccee870-b783-5cbf-abfa-67109b95c531,RAJNI
1c1332cc-515a-5bcc-a318-2a25d908a21e,02eeb761-4ba7-56bb-b075-ed959dd799e9,AMIT
1a6ef970-5f4c-57d5-a098-90f022fbeb98,4d9cc1a7-742f-50e8-bb0e-e965be3622a4,AKASH
72789957-dfdf-5cfd-9378-9fa67a35d633,1d4e78ad-ec4b-52a3-85c8-1c01d11af088,DIS 30 DEEPTI 7
a3f59dac-f4cb-5466-bf84-165138347f0a,f0cf39c6-2456-5b2c-9b1b-f6469c9e17c5,18K DIS
4bbc3610-800e-5bbe-9438-6914bcfba340,6de857e0-8f4f-5f1d-8b69-ce801eeb4f93,25K PAID DEEPAK
51507376-bdd8-5b5a-9474-43c8b4687282,b848b792-0f5f-5a1a-90d4-379214260569,30K DIS
83f7a275-0c94-5008-abcc-43df2c35c49b,6f7e6091-8964-564c-9340-cb935fb25d01,RIKZING ANGMO
5971b7f8-b010-57e4-9a1e-402dc85ec165,879aea81-5ff7-5c24-bdc1-8b1d361511f1,ANUSHKA PAID 20K
44f23f86-c20b-50ff-b11a-a6ec449c2a89,603638bd-83e9-537b-a8d5-9091cde8caf7,BHANDARI SIR
f8c167d1-e3ad-558c-964f-5b65e9205984,3b15e898-c3aa-519b-9438-cc818fed7128,15K DIS ARTI
f6bc8474-922e-5f0a-9e77-e3e065ca2139,e4420c47-82e6-57be-a94b-a59130cec065,SAURABH 15K PAID
0e5b6147-42d2-5a44-9f10-19c22619cc51,b4002208-3952-55bd-8406-9b5c4bfb17e5,20K DIS
f31fc02a-96ba-5966-97aa-198d89d0a37a,593ea415-195e-5b0e-a6e7-97d13246f02e,16K DIS
e4c959f3-81c7-5405-abaa-9ef31b10a1d1,b0b94603-e948-5339-92aa-a4d92433e013,15K DIS
ece04537-08e2-53ea-93ba-21e94291089c,070f72ce-9747-58f3-a808-097b4549d817,BARELLY 18K
0e9465e3-4a53-59f5-b1ef-8f2487c427b8,b56947be-f722-52ed-bf2d-d62f9fdffd7c,PRIYANSHU
e9c61e47-078b-520a-a0fa-75949dfe3296,fc3d0c94-d5a7-561d-97b3-f231d6512b18,NAMAN
18bf8497-1f30-564a-8db8-723ba89c9680,43c51791-be30-59bf-be7d-27573734f8b9,PETER BAKSHI 15K
74112a78-34d5-5274-80cd-3e4c1dd4242d,a8a1b422-fa59-5ed8-85e3-37288b466734,20K DIS
84e94d5e-c03a-5fbc-9f6a-ce9d2526e92b,e05d1946-0f36-5eb4-93ec-0904660ad1e4,20K DIS
