id,reg_fee,sec_fee,tut_fee,other_fee,pre_bal,rebate,curr_year,student_id
723,0.0,0.0,25000.0,0.0,0.0,0.0,1,10008
724,0.0,0.0,25000.0,0.0,0.0,0.0,1,10009
726,0.0,0.0,35000.0,0.0,0.0,0.0,1,10011
743,0.0,0.0,40000.0,0.0,0.0,0.0,2,10028
728,0.0,0.0,25000.0,0.0,0.0,0.0,1,10013
729,0.0,0.0,25000.0,0.0,0.0,0.0,1,10014
732,0.0,0.0,25000.0,0.0,0.0,0.0,1,10017
816,0.0,0.0,35000.0,0.0,0.0,0.0,2,10101
741,0.0,0.0,25000.0,0.0,0.0,0.0,1,10026
753,0.0,0.0,35000.0,0.0,0.0,0.0,1,10038
777,0.0,0.0,70000.0,0.0,0.0,20000.0,2,10062
806,0.0,0.0,40000.0,0.0,20000.0,0.0,2,10091
813,0.0,0.0,40000.0,0.0,17000.0,1.0,2,10098
768,0.0,0.0,38000.0,0.0,0.0,0.0,1,10053
771,0.0,0.0,38000.0,0.0,0.0,0.0,1,10056
797,0.0,0.0,35000.0,0.0,25000.0,0.0,2,10082
786,0.0,0.0,35000.0,0.0,0.0,0.0,1,10071
788,0.0,0.0,25000.0,0.0,0.0,0.0,1,10073
792,0.0,0.0,30000.0,0.0,0.0,0.0,1,10077
1445,0.0,0.0,190000.0,0.0,0.0,0.0,1,10729
821,0.0,0.0,40000.0,0.0,0.0,0.0,2,10106
1465,0.0,0.0,65000.0,0.0,0.0,0.0,1,10749
818,0.0,0.0,40000.0,0.0,17500.0,0.0,2,10103
809,0.0,0.0,40000.0,0.0,0.0,0.0,1,10094
811,0.0,0.0,20000.0,0.0,0.0,20000.0,1,10096
804,0.0,0.0,30000.0,0.0,30000.0,0.0,2,10089
824,0.0,0.0,40000.0,0.0,0.0,0.0,1,10109
829,0.0,0.0,20000.0,0.0,0.0,0.0,1,10114
830,0.0,0.0,20000.0,0.0,0.0,17000.0,1,10115
832,0.0,0.0,20000.0,0.0,0.0,0.0,1,10117
837,0.0,0.0,20000.0,0.0,0.0,0.0,1,10122
839,0.0,0.0,30000.0,0.0,0.0,0.0,1,10124
1485,0.0,0.0,25000.0,0.0,0.0,0.0,2,10769
755,0.0,0.0,0.0,0.0,0.0,0.0,2,10040
930,0.0,0.0,45000.0,0.0,0.0,0.0,3,10215
734,0.0,0.0,30000.0,0.0,0.0,0.0,3,10019
725,0.0,0.0,0.0,0.0,0.0,0.0,2,10010
894,0.0,0.0,35000.0,0.0,0.0,32500.0,3,10179
1439,0.0,0.0,35500.0,0.0,0.0,0.0,2,10723
766,0.0,0.0,0.0,0.0,0.0,0.0,2,10051
736,0.0,0.0,35000.0,0.0,0.0,0.0,3,10021
817,0.0,0.0,20000.0,0.0,0.0,0.0,3,10102
1458,0.0,0.0,35000.0,0.0,0.0,30000.0,2,10742
1420,0.0,0.0,25000.0,0.0,0.0,0.0,2,10704
744,0.0,0.0,2000.0,0.0,0.0,0.0,2,10029
825,0.0,0.0,0.0,0.0,0.0,0.0,2,10110
745,0.0,0.0,20000.0,0.0,0.0,0.0,3,10030
820,0.0,0.0,25000.0,0.0,0.0,0.0,3,10105
750,0.0,0.0,0.0,0.0,0.0,2000.0,2,10035
787,0.0,0.0,20000.0,0.0,0.0,0.0,3,10072
814,0.0,0.0,23000.0,0.0,0.0,0.0,3,10099
1425,0.0,0.0,31000.0,0.0,0.0,0.0,2,10709
733,0.0,0.0,15000.0,0.0,0.0,0.0,3,10018
742,0.0,0.0,20000.0,0.0,0.0,2000.0,3,10027
752,0.0,0.0,0.0,0.0,0.0,0.0,2,10037
779,0.0,0.0,0.0,0.0,0.0,30000.0,2,10064
769,0.0,0.0,0.0,0.0,0.0,0.0,2,10054
791,0.0,0.0,17500.0,0.0,0.0,0.0,3,10076
756,0.0,0.0,0.0,0.0,0.0,0.0,2,10041
1452,0.0,0.0,76000.0,0.0,0.0,0.0,1,10736
928,0.0,0.0,30000.0,0.0,0.0,0.0,3,10213
765,0.0,0.0,0.0,0.0,0.0,0.0,2,10050
757,0.0,0.0,0.0,0.0,0.0,0.0,2,10042
780,0.0,0.0,35000.0,0.0,0.0,0.0,2,10065
815,0.0,0.0,20000.0,0.0,0.0,0.0,3,10100
727,0.0,0.0,0.0,0.0,0.0,0.0,2,10012
1492,0.0,0.0,17500.0,0.0,0.0,0.0,2,10776
924,0.0,0.0,1000.0,0.0,0.0,0.0,3,10209
762,0.0,0.0,0.0,0.0,0.0,0.0,2,10047
793,0.0,0.0,20000.0,0.0,0.0,0.0,3,10078
888,0.0,0.0,35000.0,0.0,0.0,0.0,3,10173
759,0.0,0.0,0.0,0.0,0.0,0.0,2,10044
1472,0.0,0.0,45000.0,0.0,0.0,0.0,2,10756
794,0.0,0.0,20000.0,0.0,0.0,0.0,3,10079
761,0.0,0.0,0.0,0.0,0.0,1000.0,2,10046
784,0.0,0.0,0.0,0.0,0.0,0.0,2,10069
767,0.0,0.0,5000.0,0.0,0.0,5000.0,2,10052
1432,0.0,0.0,2000.0,0.0,0.0,0.0,1,10716
789,0.0,0.0,0.0,0.0,0.0,0.0,2,10074
773,0.0,0.0,0.0,0.0,0.0,0.0,2,10058
1486,0.0,0.0,62000.0,0.0,0.0,0.0,2,10770
1499,0.0,0.0,0.0,0.0,0.0,0.0,2,10783
720,0.0,0.0,0.0,0.0,0.0,0.0,2,10005
748,0.0,0.0,0.0,0.0,0.0,0.0,2,10033
754,0.0,0.0,0.0,0.0,0.0,0.0,2,10039
826,0.0,0.0,0.0,0.0,0.0,0.0,2,10111
721,0.0,0.0,0.0,0.0,0.0,0.0,2,10006
747,0.0,0.0,0.0,0.0,0.0,0.0,2,10032
760,0.0,0.0,0.0,0.0,0.0,0.0,2,10045
782,0.0,0.0,0.0,0.0,0.0,0.0,2,10067
823,0.0,0.0,0.0,0.0,0.0,22000.0,2,10108
798,0.0,0.0,33000.0,0.0,0.0,0.0,3,10083
751,0.0,0.0,0.0,0.0,0.0,0.0,2,10036
935,0.0,0.0,0.0,0.0,0.0,0.0,3,10220
785,0.0,0.0,0.0,0.0,0.0,0.0,2,10070
871,0.0,0.0,40000.0,0.0,0.0,0.0,2,10156
827,0.0,0.0,11000.0,0.0,0.0,0.0,2,10112
749,0.0,0.0,0.0,0.0,0.0,0.0,2,10034
822,,0.0,40000.0,0.0,0.0,0.0,3,10107
758,0.0,0.0,0.0,0.0,0.0,0.0,2,10043
819,,0.0,40000.0,0.0,0.0,2500.0,3,10104
783,0.0,0.0,0.0,0.0,0.0,0.0,2,10068
840,0.0,0.0,40000.0,0.0,0.0,0.0,1,10125
842,0.0,0.0,20000.0,0.0,0.0,17000.0,1,10127
844,0.0,0.0,20000.0,0.0,0.0,0.0,1,10129
1433,0.0,0.0,60000.0,0.0,0.0,0.0,1,10717
1466,0.0,0.0,65000.0,0.0,0.0,0.0,1,10750
1453,10000.0,0.0,45000.0,0.0,0.0,0.0,1,10737
862,0.0,0.0,20000.0,0.0,0.0,0.0,1,10147
868,0.0,0.0,35000.0,0.0,0.0,10000.0,1,10153
885,0.0,0.0,12000.0,0.0,0.0,30000.0,1,10170
884,0.0,0.0,70000.0,0.0,0.0,0.0,1,10169
900,0.0,0.0,35000.0,0.0,0.0,25000.0,1,10185
1500,0.0,0.0,160000.0,0.0,0.0,0.0,1,10784
902,0.0,0.0,32500.0,0.0,0.0,0.0,1,10187
904,0.0,0.0,70000.0,0.0,0.0,0.0,1,10189
911,0.0,0.0,10000.0,0.0,0.0,0.0,1,10196
912,0.0,0.0,170000.0,0.0,0.0,0.0,1,10197
913,0.0,0.0,6000.0,0.0,0.0,40000.0,1,10198
921,0.0,0.0,35000.0,0.0,0.0,0.0,1,10206
926,0.0,0.0,30000.0,0.0,0.0,0.0,1,10211
931,0.0,0.0,20000.0,0.0,0.0,0.0,1,10216
950,0.0,0.0,35000.0,0.0,0.0,0.0,2,10235
949,0.0,0.0,35000.0,0.0,0.0,0.0,1,10234
1039,0.0,0.0,18000.0,0.0,0.0,0.0,2,10324
954,0.0,0.0,35000.0,0.0,0.0,0.0,1,10239
1036,0.0,0.0,35000.0,0.0,0.0,0.0,2,10321
962,0.0,0.0,30000.0,0.0,0.0,0.0,1,10247
967,0.0,0.0,22500.0,0.0,0.0,0.0,1,10252
878,0.0,0.0,5000.0,0.0,0.0,0.0,2,10163
1501,0.0,0.0,160000.0,0.0,0.0,0.0,1,10785
1555,0.0,0.0,30000.0,0.0,0.0,0.0,2,10839
879,0.0,0.0,0.0,0.0,0.0,0.0,2,10164
918,0.0,0.0,35000.0,0.0,0.0,0.0,3,10203
853,0.0,0.0,2000.0,0.0,0.0,0.0,2,10138
874,0.0,0.0,53000.0,0.0,0.0,0.0,3,10159
909,0.0,0.0,0.0,0.0,0.0,0.0,2,10194
