id,remarks
22045,ph pay id 0724 1/7/24
22205,AC 10578 NEFT BY GOVINDRAM ARYA 26/6/24
22368,HDFC QR CODE AIMT 8/09/2024
21144,ID 6951
21145,ID 9587
21992,ID 8082
23171,ID 5255
22689,PH PAY 2/7/24
22330,HDFC QR CODE NIAE 03/09/2024 (4343)
22534,PH PAY QR CODE 24/09/2024
21263,ID 5330 PROVISIONAL ADMISSION
21517,ID 5626 PROVISIONAL ADMISSION
21792,HDFC QR CODE (45000) 20000 24/07/2024
22074,PH PAY QR CODE 13/08/2024
22917,ID 5027
22779,ID 9998
22556,id 8384
21239,AC 9374 31/5/24 NEFT BY PANDHARINATH (270000)
20192,"8738, 8929, 8941, 8988"
20194,"8595, 9048"
22742,ID 7186
23228,PH PAY QR CODE (1154) 13/12/2024
23107,PH PAY 8000 + CASH 7000
23223,PH PAY 10000 + 2500
23143,PH PAY QR CODE 09/12/2024 (1216)
23379,PH PAY QR CODE 18/12/2024
22995,ID 5102
23413,PH PAY QR CODE 20/12/2024
23308,PH PAY 10K +7500
21135,ID 5015
23067,ID 0961
22136,1938
21357,id 8574
22956,NEFT BY 30/11/2024 9374 ACC
24187,PH PAY QR CODE 01/05/2025 (50000) 25000
20252,"2576, 2854"
20804,R# 2946 2979
21028,OLD R# 2992
22206,NIAE
22524,PH PAY 15/6/24
24739,PH PAY 24/5/25
21615,ID 1932 PROVISIONAL ADMISSION
22369,HDFC QR CODE NIAE 09/09/2024
22331,AC 9374 NEFT BY THE DHARAMPETH MAHILA 3/9/24
20711,2676
23265,ID 2371
22957,PH PAY QR CODE 30/11/2024
25683,NIAE QR ID 1603
22398,HDFC QR CODE AIMT 12/09/2024
22743,ID 2392
21569,ID 9079
23229,PH PAY QR CODE (1154) 13/12/2024
22780,AC 1045 HDFC 20/1124
20428,"1268, 1549, 1598, 1715, 1717"
21154,NEFT BY 27/05/2024 (10569) ACC BOI
20054,8974
23144,**
22841,cash 25k + ph pay 10k
24765,1968
23108,ID 0821
23309,PH PAY QR CODE 14/12/2024
23414,NEFT BY 16/12/2024 (9374) ACC PNB (95000) (2655)
22996,PH PAY30/11/24
23452,PH PAY QR CODE (5961) 21/12/2024
23380,ID 7039
23949,**
22882,"old slip R# 736, 752, 859"
20399,"2350, 2365, 2438, 2543, 2551"
21220,HDFC
22332,AIMT HDFC QR 5556
22558,ID 2736
22207,PH PAY QR CODE 24/08/2024 PROVISIONAL ADMISSION
22399,HDFC QR CODE AIMT 12/09/2024
24651,id 5031
20942,**
21609,ID 3361 PROVISIONAL ADMISSION
22781,ID 6817
21848,HDFC NEFT BY (45000) 1045 29/07/2024 (30000)
21706,AC 1045 16/7/24 25K HDFC
23173,32K
21202,ID 2103
22525,ID 3494
22172,PH PAY QR CODE 21/08/2024
21467,id 9052
22658,ID 3370
22958,ID 9231
20127,"8324, 9096, 9166, 9416"
23069,ID 3708
23671,ID 8308
23310,PH PAY QR CODE (2481) 16/12/2024
23145,ID 1114
22691,HP
22243,PH PAY QR CODE 25/08/2024
23230,PH PAY QR CODE (3277) 13/12/2024
23268,PH PAY QR CODE 14/12/2024
23381,ID 7776
22997,HDFC ACC 1045 02/12/2024 ANITA MANDAL
23415,NEFT BY 16/12/2024 (9374) ACC PNB (20000) 115000 (2655)
23030,ID 2753
20597,R# 2647
22842,ID 2308
22244,ID9325
20084,"8934, 8935, 9154, 9533"
23174,PH PAY QR CODE 10/12/2024 (6376)
22400,PH PAY QR CODE 12/09/2024
22526,PH PAY 15/6/24
22523,HDFC AC 1045 13/9/24
22139,PROVISIONAL ADMISSION
20357,"2075, 2253, 2329"
21191,DBD ON 28/05/2024 (160000) ACC 6831
22407,CASH 10000 AND 5000 BK**
22173,PH PAY QR CODE 21/08/2024
22812,OLD R# 10282
23888,**
22208,ID 0211 NIAE
20502,"1554, 1649"
22292,NIAE
20202,"9252, 9255, 9303, 9478"
21281,PROVISIONAL ADMISSION
22077,PH PAY QR CODE 13/08/2024
22692,PH PAY QR CODE 11/11/2024
20878,ID 0571
20016,"OLD R# 9315, 9643"
23453,PH PAY QR CODE 23/12/2024
23382,ID 6332
23031,ID 6420
23146,ID 5782
23933,PH PAY QR CODE 07/03/2025
22107,PH PAY 8K+2K PROVISIONAL ADMISSION
23070,ID 5239
23519,PH PAY 27/11/24 (50K)
21522,HDFC PROVISIONAL ADMISSION
23485,ID 2316
22884,ID 7052
23416,PNB ACC (9374) 115000 20/12/2024 (95000)
23269,ID 6635
22959,PH PAY QR CODE (3799) 30/11/2024
25684,NIAE QR ID 7940
22324,IMPS ON 04/07/2024 PNB 10569 ACC
22245,ID 2650
20410,"2266, 2383"
22408,AIMT HDFC QR
22372,ID 5759
23232,ID 1136
22693,PH PAY ID 1408
20992,OLD R# 2708
22560,HDFC QR ACMT (8K+2K)
22998,PH PAY 1/12/24
23454,ID 6377
23111,ID 1240
20915,PH PAY QR CODE 15/05/2024
22659,ID 3048
20866,"HDFC AC 6831 1/5/24 , (5K+20K) PROVISIONAL ADMISSION"
22746,ID 8333
22108,ID 8107 PROVISIONAL ADMISSION
22401,HDFC QR CODE AIA 12/09/2024
23270,ID 8674
20373,"2177, 2321, 2372"
23312,PH PAY QR CODE 16/12/2024 (7997)
22209,ID 3988
23175,PH PAY 20K + 10K
23553,ID 8625
22078,HDFC QR CODE AIMT 13/08/2024
22334,OLD R# 1298 TRF AGRO TO HORTI
22960,PH PAY QR CODE 30/11/2024 (7509)
23071,ID 8738
23417,NEFT BY 20/12/2024 (115000) 9374 ACC PNB (20000)
23032,ID 0683
23147,ID 2287
23486,PH PAY QR CODE 30/12/2024 (3635)
23520,PH PAY 28/11/24 (50K)
22844,PH PAY 79920+80
22174,ID 9583 10K + CASH 2K
22210,ID 3831 NIAE
20497,"R# 2140, 2425, 2485"
22561,HDFC QR 6/9/24
22335,OLD R# 1158 TRF SOIL TO AGRO
22694,PH PA YQR CODE (57500) 12500 11/11/2024
22246,ID 3640
22782,ID 3480
22049,HDFC QR CODE (AIMT) 9000+1000 12/08/2024
22660,ID 8312
22079,7000 PH PAY QR CODE 01/06/2024 AND 3000 PH PAY QR CODE 13/08/2024
22293,id 0636
20907,5793
22528,PH PAY QR CODE 24/09/2024
22814,PH PAY QR CODE 22/11/2024
23313,ID 7853
23072,PH PAY QR CODE (1688) 04/12/2024
22922,PH PAY QR CODE (5000+5000) 30/11/2024
23112,ID 7470
23384,ID 8449
23271,PH PAY QR CODE 14/12/2024
23487,ID 9824
23349,PH PAY QR CODE 17/12/2024 (5181)
23148,ID 9296
22367,HDFC QR CODE ACMT 07/09/2024
23418,NEFT AC 9374 (115000) 20/12/24
23233,PH PAY QR CODE 13/12/2024 (3639)
22961,ID 7037
23521,ID 8974
22175,HDFC QR CODE AIMT 22/08/2024
23455,PH PAY QR CODE (20/12/2024)
22999,PH PAY 73K + CASH 3K
25737,ID 6829 PROVISIONAL ADMISSION
21480,ID 9130 PROVISIONAL ADMISSION
21873,ID 6119
21905,PH PAY 7K +3K PROVISIONAL ADMISSION
22336,HDFC QR NIAE 60K
22110,CHQ 598548 (45000) 16/08/2024
23889,**
21794,HDFC QR CODE (70000) 55000 24/07/2024
22247,ID 3212
22529,PH PAY QR CODE 24/09/2024
22618,ph pay id 4708 17/10/24
21722,PROVISIONAL ADMISSION
22661,ID 2531
23000,PH PAY QR CODE 02/12/2024
22050,PH PAY QR CODE 12/08/2024
23149,PH PAY QR CODE 09/12/2024
22846,ID 2704
23034,ID 8415
23314,PH PAY QR CODE 16/12/2024 (2527)
22923,PH PAY QR CODE 30/11/2024
23934,PH PAY QR CODE 01/04/2025
22962,ID 7795
23073,ID 6625
23234,PH PAY QR CODE 13/12/2024
23113,ID 6577
23606,CASH 34500 + 500 QR
23456,PH PAY 9/12/24
23522,PH PAY 8152 (21K) + CASH 4K
21654,HDFC
24741,ID 7157
22695,PH PAY QR CODE 11/11/2024 (20000+20000)
23385,ID 0331
23272,PH PAY 5/12/24
23554,ID 9195
22451,HDFC QR CODE NIAE 18/09/2024
22924,ID 3769
22080,ID 9354
23457,ID 0515
22374,ID 4056
22410,PH PAY (2K+8K)
22404,HDFC QR CODE NIAE 12/09/2024
22696,HDFC
22142,ID 9320 (20K)
22337,HDFC QR NIAE 60K
22662,ID 7161
22816,ID 4503
22177,PH PAY QR CODE (7778) 22/08/2024
22619,PROVISIONAL ADMISSION
22783,PH PAY 13/11/24 11K
22530,PH PAY QR CODE 24/09/2024
23386,PH PAY 14/7/24
23235,PH PAY QR CODE 13/12/2024 (5299)
23890,**
23420,PH PAY QR CODE 20/12/2024 (3599)
23315,PH PAY QR CODE (20000) 16/12/2024 AND 10000 CASH
23114,ID 3020
23555,PH PAY 12/12/24
22111,PH PAY QR CODE 16/08/2024
23074,PH PAY 5K+5K 30/11/24
22051,ID 5633
22749,old r#984
23178,PH PAY QR CODE (4622) 11/12/2024
23001,PH PAY QR CODE 02/12/2024
23273,PH PAY QR CODE 14/12/2024 (8681)
23523,ID 5940
22963,ID 5139
25738,ID (9185+7256) (20K+20K)
22535,ID 9415
22112,85000 HDFC SWIPE AND 10000 CASH
22329,HDFC QR CODE (AIMT) 03/09/2024
20375,"2280, 2457, 2567, 2590"
21279,PH PAYQR CODE 03/06/2024
20788,PH PAY ID 6081
22143,ID 9320 (20K)
22784,ACMT ID 7558
22452,ID 0649
21694,PROVISIONAL ADMISSION
22213,PROVISIONAL ADMISSION
22925,ID 3811
22663,ID 3179
22564,id 3495
22411,HDFC QR CODE NIAE 13/09/2024
22178,ID 5440
23316,PH PAY QR CODE (1811) 16/12/2024
23179,ID 0469
23075,NEFT BY 04/12/2024 RAJAGRAM 9374 ACC PNB
23274,AC 1045 12/12/24
22620,PH PAY 5K + CASH 10K PROVISIONAL ADMISSION
23236,PH PAY QR CODE 13/12/2024 (6576)
22888,ID 9285
23151,PH PAY QR CODE 09/12/2024 (9100)
22750,ID 9656
22848,ID 2192
23387,ID 6182
23002,PH PAY QR CODE 30000 (0632)+ (5000) (2788) 02/12/2024
20499,"R# 2192, 2258, 2520, 2593"
20715,2659
23490,ID 7541
23352,PH PAY QR CODE 17/12/2024
23036,NEFT BY HARJINDER (115000) 1045 ACC HDFC 03/12/2024
22964,PH PAY 30K +10K
20452,"650, 687, 814"
20353,"2183, 2282"
22250,ID 9565
22785,HDFC AIMT QR 28/10/24
22144,5983
22565,id 0800
22698,OLD SLIP R# 10086
22849,HDFC (6831) 24/11/2024
22412,HDFC QR CODE NIAE 13/09/2024
20772,852
22338,AIMT QR HDFC 9302
23556,ID 3603
22214,SABZAR SIR
22621,ID 4645
22889,ID 9464
23180,ID 1282
22490,PH PAY QR CODE 07/07/2024
22532,ID 2822
22818,PH PAY 3500 + CASH 1500
23003,PH PAY QR CODE 02/12/2024
23152,PH PAY QR CODE 09/12/2024 (0050)
22741,ID 4276
23317,PH PAY ID 6762
23076,ID 6671
23116,PH PAY QR CODE 05/12/2024
21221,AC 9374 30/5/24 NEFT BY GAUTAM MEDIC.
23586,**
24695,*
22965,ID 7806
23491,ID 2243
23237,PH PAY QR CODE 13/12/2024 (5736)
22179,PH PAY QR CODE (5000+5000) 21/08/2024
22453,ID 4596 NIAE
24767,PH PAY QR CODE (20000) 27/05/2025 AND 20000 CASH
22926,PH PAY QR CODE (0638) 30/11/2024
20577,R# 1542
22786,**
23077,PH PAY QR CODE 04/12/2024
20792,2980
21217,ID 2557
22215,HDFC
22298,HDFC QR CODE 31/08/2024 NIAE
23117,PH PAY QR CODE 05/12/2024 (9702)
22053,ID 8234
22413,HDFC QR CODE NIAE 13/09/2024 (11000+9000)
22665,NEFT BY 07/11/2024 (10578) (55000)
22145,AC 0822 17500 20/8/24
23153,ID 6441
22251,IMPS ON 28/08/2024 (10569 PNB)
23318,PH PAY QR CODE 16/12/2024 (40000)
22533,AC 4709 23/9/24
22491,PH PAY 19/9/24
23181,PH PAY QR CODE (11/12/2024) (1667)
20717,2611 2671
22966,ID 2836
22516,PH PAY ID 1475
22454,IMPS ON 18/09/2024 (10569)
23004,PH PAY QR CODE 02/12/2024
23587,ID 3492
22751,id 4611
23526,PH PAY ID 4178
23950,ID 8472
22890,PH PAY 33K +2K
23631,CHQ 061928 (160000) 9374 ACC (95000)
23492,ID 0730
22114,PH PAY QR CODE 16/08/2024
22699,PH PAY
22850,ID 6256
23389,PH PAY QR CODE 19/12/2024
22622,ID 0431 PROVISIONAL ADMISSION
23038,PH PAY QR CODE 03/12/2024 (6369)
22054,AC 10569 8/8/24 90K
22181,PH PAY QR CODE (100000) 95000 22/08/2024
22216,AC 1045 24/8/24
21084,ID 7201
22666,ac 4709 hdfc 7/11/24
22928,ID 7982
22299,HDFC QR CODE NIAE 31/08/2024
22414,HDFC QR CODE AIMT 13/09/2024
22081,ID 7285
20918,PH PA YQR CODE 15/05/2024
22252,ID 8705
22967,ID 7803
23319,ID 6931
22146,PH PAY 20/8/24
23277,ID 6934
23039,PH PAY QR CODE 03/12/2024 (5850)
22339,ID 1613
23353,ID 4435
23527,ID 3156
23390,HDFC ACC 6831 17/12/2024
23458,ID 9044
23118,PH PAY QR CODE 05/12/2024 (1598)
23239,PH PAY QR CODE 13/12/2024 (7212)
22752,PH PAY 4/10/24
23891,ID 8396
23182,OLD R#10380
22536,PH PAY QR CODE 25/09/2024
22891,ID 8608
22787,PH PAY QR CODE 20/11/2024 (5000+1000)
23154,ID 7660
22851,ID 6822
24696,ID 8483
22182,PH PAY QR CODE 22/08/2024
22253,HDFC QR CODE NIAE 28/08/2024
22082,ID 8323
21644,ID 9165
23006,PH PAY QR CODE (2045) 02/12/2024
22456,ID 3600
22415,id 3052 niae
21169,id 4822
22821,ID 1483
23155,PH PAY QR CODE 09/12/2024 (7459)
20418,"1289, 1513, 1516, 1658"
22753,ID 0732
23494,PH PAY 13K +2K
22340,HDFC AC 4709 3/9/24
23278,ID 9541
22968,ID 9922
22217,ID 7764 NIAE
23320,PH PAY QR CODE 16/12/2024 (0901)
23079,ID 7563
23183,PH PAY 30/11/24
23609,OLD SLIP R# 1251
22375,ID 4041
23459,ID 7644
22624,hdfc niae 19/10/24
22493,SWIPE 11500+ PH PAY 1400
23040,ID 5893
22701,swipe 7k + cash 8k
23119,PH PAY QR CODE (1066) 05/12/2024
23632,061928 (160000) 9374 ACC (95000)
22852,ID 2028
24697,*
21840,OLD R# 2460 14/10/2023
24742,ID 4460
23589,ID 7918 (29500+500) ID 5975
22116,ID 3308
23935,PH PAY QR CODE (4000) 01/04/2025 6000 CASH
22218,ID1706 NIAE
22301,ACC 9374 NEFT BY 06/08/2024 (80000) 70000
21400,ID 4597
25688,PH PAY QR CODE (6567) 04/08/2025
22520,HDFC QR CODE ACMT 23/09/2024
20720,2597
21119,**
21920,PH PAY QR CODE 02/08/2024
20638,10030
22930,ID 6937
22117,HDFC QR CODE NIAE 17/08/2024
22853,ID 7174
21530,HDFC PROVITIONAL ADMISSION
22789,7245
22341,NIAE QR HDFC 7871
